term,estimate,std.error,statistic,p.value
course_completion_weighted,10.57865383892637,5.40099757922838,1.9586481355982577,0.0910007699351176
treated,-9.091647716212593,7.860752515878142,-1.156587451118469,0.28538250557479794
course_completion_weighted:treated,9.574888027380348,10.35598458968223,0.9245753452472211,0.38595029568548833
